Unnamed: 0,Date,Day of Week,Is Weekday,Is Weekend,Calories Burned,Calories BMR,Steps,Distance (Km),Elevation (Ft),Resting Heart Rate,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Active Score,Cardio minutes,Cardio calories,Fat Burn minutes,Fat Burn calories,Peak minutes,Peak calories,Normal Cardio calories,Normal Cardio minutes,Sleep Efficiency,Minutes Asleep,Minutes to fall asleep,Sleep Start time,Sleep End time,Time in bed,Minutes Deep sleep,Deep sleep count,Minutes Light sleep,Light sleep count,Minutes REM sleep,REM sleep count,Minutes Awake,Minutes Awake count,% Deep sleep,% Light sleep,% REM sleep
45,2018-08-08,3,True,False,2371,1680,4808,3.64,0.0,60.0,0,1237,190,10,3,842,-1,2.0,21.35976,47.0,246.51264,0.0,0.0,1508.95616,883.0,,,,,,,,,,,,,,,,,
26,2018-07-20,5,True,False,2530,1680,6584,5.35,39.62,57.0,13,808,168,12,16,951,-1,4.0,49.25162,45.0,251.97689,6.0,86.59882,1931.08366,1211.0,,,,,,,,,,,,,,,,,
94,2018-09-26,3,True,False,2276,1680,4892,3.19,24.38,63.0,8,898,138,3,12,657,-1,0.0,0.0,39.0,231.86303,0.0,0.0,1699.0064,1105.0,97.0,376.0,0.0,2018-09-26T22:57:00.000,2018-09-27T06:04:00.000,427.0,72.0,4.0,229.0,31.0,75.0,7.0,51.0,33.0,17.0,54.0,18.0
53,2018-08-16,4,True,False,2914,1680,6952,4.25,21.34,63.0,7,724,241,43,15,1399,-1,7.0,46.22112,152.0,778.98928,1.0,6.53632,2051.00384,1256.0,90.0,393.0,0.0,2018-08-16T22:16:30.000,2018-08-17T06:01:30.000,465.0,106.0,5.0,211.0,32.0,76.0,6.0,72.0,30.0,23.0,46.0,17.0
18,2018-07-12,4,True,False,1680,1680,0,0.0,0.0,,0,1440,0,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
0,2018-06-24,7,False,True,1996,1690,3367,3.01,0.0,59.0,0,1377,47,2,14,362,-1,11.0,133.10892,14.0,89.2088,0.0,0.0,446.51352,284.0,92.0,379.0,0.0,2018-06-24T22:17:00.000,2018-06-25T05:28:30.000,431.0,56.0,2.0,244.0,26.0,79.0,6.0,52.0,25.0,13.0,57.0,19.0
56,2018-08-19,7,False,True,2927,1680,12424,8.27,15.24,65.0,5,715,271,34,15,1511,-1,0.0,0.0,130.0,733.23504,0.0,0.0,2022.7576,1169.0,,,,,,,,,,,,,,,,,
85,2018-09-17,1,True,False,2900,1680,7851,4.95,33.53,67.0,11,736,201,22,39,1333,-1,19.0,194.52223,234.0,875.29169,0.0,0.0,1786.05714,1160.0,97.0,387.0,0.0,2018-09-17T22:40:30.000,2018-09-18T05:58:30.000,438.0,65.0,4.0,259.0,30.0,63.0,5.0,51.0,30.0,15.0,60.0,15.0
109,2018-10-11,4,True,False,3034,1675,10386,6.54,27.43,64.0,9,686,269,19,41,1581,-1,2.0,20.24316,207.0,1043.22078,0.0,0.0,1902.97338,1177.0,93.0,402.0,0.0,2018-10-11T22:08:30.000,2018-10-12T05:53:30.000,465.0,98.0,4.0,238.0,30.0,66.0,8.0,63.0,31.0,22.0,52.0,15.0
100,2018-10-02,2,True,False,2394,1680,6271,4.95,6.1,62.0,2,745,200,3,9,870,-1,1.0,10.5021,34.0,204.32419,0.0,0.0,2025.85509,1277.0,96.0,384.0,0.0,2018-10-02T22:49:30.000,2018-10-03T06:04:30.000,435.0,83.0,3.0,247.0,35.0,54.0,8.0,51.0,38.0,20.0,57.0,13.0
93,2018-09-25,2,True,False,2832,1543,10069,6.87,24.38,63.0,8,580,192,39,46,1422,-1,0.0,0.0,225.0,1082.99989,0.0,0.0,1706.82463,1063.0,,,,,,,,,,,,,,,,,
88,2018-09-20,4,True,False,3398,1680,11535,7.44,12.19,67.0,4,650,225,59,84,2000,-1,26.0,251.70033,282.0,1420.81744,0.0,0.0,1686.75395,1105.0,98.0,394.0,0.0,2018-09-20T23:15:00.000,2018-09-21T06:56:30.000,461.0,96.0,6.0,203.0,30.0,95.0,11.0,67.0,28.0,21.0,45.0,21.0
67,2018-08-30,4,True,False,2680,1680,4673,2.9,24.38,60.0,8,747,186,22,30,1139,-1,17.0,128.359,112.0,562.56249,2.0,14.81963,1809.39514,1169.0,96.0,377.0,0.0,2018-08-30T22:39:00.000,2018-08-31T06:00:30.000,441.0,75.0,4.0,194.0,33.0,108.0,11.0,64.0,35.0,18.0,44.0,25.0
12,2018-07-06,5,True,False,3597,1681,14251,9.93,33.53,55.0,11,605,247,46,100,2230,-1,29.0,317.093,148.0,986.0705,2.0,28.7205,2167.347,1208.0,93.0,369.0,0.0,2018-07-06T22:29:30.000,2018-07-07T06:01:30.000,452.0,67.0,3.0,249.0,34.0,53.0,8.0,83.0,36.0,15.0,56.0,12.0
15,2018-07-09,1,True,False,2590,1680,6542,4.15,18.29,58.0,6,624,183,15,22,1021,-1,2.0,19.26045,61.0,376.45425,0.0,0.0,2175.49701,1362.0,94.0,,0.0,2018-07-09T22:45:30.000,2018-07-10T05:33:00.000,407.0,,,,,,,,,,,
68,2018-08-31,5,True,False,3728,1680,17219,11.78,15.24,62.0,5,609,202,53,135,2353,-1,30.0,314.01279,276.0,1612.77249,2.0,24.97166,1601.57025,990.0,,,,,,,,,,,,,,,,,
31,2018-07-25,3,True,False,3129,1680,11022,7.3,21.34,59.0,7,1135,190,43,72,1647,-1,6.0,61.8563,167.0,1031.24956,0.0,0.0,1512.21147,823.0,97.0,377.0,0.0,2018-07-25T22:21:00.000,2018-07-26T05:25:30.000,424.0,95.0,4.0,194.0,29.0,88.0,10.0,47.0,32.0,23.0,46.0,21.0
24,2018-07-18,3,True,False,3071,1680,9186,5.77,24.38,57.0,8,661,239,14,52,1571,-1,10.0,105.73926,147.0,867.27201,0.0,0.0,2006.94516,1219.0,98.0,340.0,0.0,2018-07-19T00:11:30.000,2018-07-19T06:43:30.000,392.0,81.0,4.0,181.0,19.0,78.0,6.0,52.0,22.0,21.0,47.0,20.0
55,2018-08-18,6,False,True,3163,1680,15528,10.22,18.29,64.0,6,1113,182,59,86,1801,-1,3.0,30.3498,200.0,1279.01061,0.0,0.0,843.37425,378.0,91.0,355.0,0.0,2018-08-19T02:22:30.000,2018-08-19T09:07:30.000,405.0,84.0,3.0,190.0,27.0,81.0,6.0,50.0,28.0,21.0,47.0,20.0
22,2018-07-16,1,True,False,2243,1680,4247,2.71,15.24,,5,1440,0,0,0,0,-1,,,,,,,,,98.0,348.0,0.0,2018-07-17T00:00:00.000,2018-07-17T06:28:30.000,388.0,51.0,2.0,226.0,31.0,71.0,5.0,40.0,31.0,14.0,59.0,19.0
62,2018-08-25,6,False,True,2718,1680,8609,5.53,27.43,63.0,9,838,181,50,31,1281,-1,19.0,30.58326,369.0,1052.32095,0.0,0.0,1620.44586,1041.0,,,,,,,,,,,,,,,,,
114,2018-10-16,2,True,False,3010,1675,9593,6.18,21.34,61.0,7,736,237,36,39,1522,-1,0.0,0.0,202.0,1027.04952,0.0,0.0,1947.29892,1211.0,98.0,389.0,0.0,2018-10-16T23:03:30.000,2018-10-17T06:20:30.000,437.0,99.0,4.0,179.0,23.0,111.0,7.0,48.0,21.0,23.0,41.0,26.0
80,2018-09-12,3,True,False,2951,1680,5539,3.31,3.05,65.0,1,712,223,26,46,1417,-1,20.0,160.79882,211.0,862.10572,3.0,36.05721,1867.50676,1191.0,97.0,360.0,0.0,2018-09-13T00:21:00.000,2018-09-13T07:00:00.000,399.0,73.0,5.0,236.0,36.0,51.0,5.0,39.0,33.0,19.0,60.0,13.0
30,2018-07-24,2,True,False,3405,1680,9731,6.12,15.24,58.0,5,698,216,38,88,1955,-1,25.0,263.41447,200.0,1164.88251,5.0,65.82444,1803.98647,1123.0,,,,,,,,,,,,,,,,,
84,2018-09-16,7,False,True,2758,1680,10454,6.72,73.15,67.0,24,668,337,0,0,1388,-1,0.0,0.0,69.0,379.35919,0.0,0.0,2371.1408,1366.0,98.0,393.0,0.0,2018-09-16T22:20:30.000,2018-09-17T05:43:00.000,442.0,95.0,3.0,228.0,29.0,70.0,7.0,49.0,31.0,22.0,52.0,16.0
9,2018-07-03,2,True,False,2898,1681,10173,7.4,6.1,58.0,2,667,210,21,67,1481,-1,5.0,52.304,84.0,623.09475,3.0,38.294,1943.8875,1153.0,95.0,,0.0,2018-07-03T22:43:00.000,2018-07-04T05:18:30.000,395.0,,,,,,,,,,,
33,2018-07-27,5,True,False,2699,1680,8550,5.57,6.1,61.0,2,761,200,13,31,1149,-1,0.0,0.0,89.0,557.80488,0.0,0.0,1983.6564,1228.0,,,,,,,,,,,,,,,,,
64,2018-08-27,1,True,False,2401,1680,5264,3.37,21.34,61.0,7,840,147,8,18,778,-1,1.0,10.96886,60.0,322.29778,0.0,0.0,1826.78195,1172.0,96.0,383.0,0.0,2018-08-27T22:36:30.000,2018-08-28T06:03:30.000,447.0,82.0,5.0,229.0,34.0,72.0,7.0,64.0,31.0,19.0,52.0,17.0
66,2018-08-29,3,True,False,3113,1680,10386,6.89,12.19,60.0,4,701,196,49,64,1616,-1,4.0,40.37474,214.0,1157.21473,0.0,0.0,1887.69413,1200.0,97.0,399.0,0.0,2018-08-29T22:20:30.000,2018-08-30T05:55:30.000,455.0,83.0,4.0,232.0,37.0,84.0,9.0,56.0,37.0,19.0,51.0,19.0
28,2018-07-22,7,False,True,2626,1680,7555,4.55,18.29,56.0,6,757,280,5,14,1191,-1,0.0,0.0,23.0,152.43632,0.0,0.0,2452.8708,1399.0,98.0,411.0,0.0,2018-07-22T23:09:00.000,2018-07-23T06:49:30.000,460.0,81.0,6.0,259.0,30.0,71.0,6.0,49.0,31.0,18.0,57.0,16.0
44,2018-08-07,2,True,False,2497,1680,4366,2.78,0.0,61.0,0,1243,166,12,19,917,-1,0.0,0.0,123.0,611.44369,0.0,0.0,1393.63411,906.0,,,,,,,,,,,,,,,,,
111,2018-10-13,6,False,True,2304,1675,6304,4.08,27.43,64.0,9,840,181,0,0,792,-1,0.0,0.0,62.0,328.42782,0.0,0.0,1598.16258,1057.0,98.0,396.0,0.0,2018-10-13T23:30:00.000,2018-10-14T06:45:30.000,435.0,87.0,3.0,180.0,27.0,129.0,14.0,39.0,29.0,20.0,42.0,30.0
5,2018-06-29,5,True,False,1681,1681,0,0.0,0.0,,0,1440,0,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
95,2018-09-27,4,True,False,3036,1680,9433,6.96,3.05,63.0,1,710,227,35,41,1531,-1,6.0,70.59745,205.0,991.51493,2.0,28.58905,1921.65092,1213.0,99.0,380.0,0.0,2018-09-27T22:55:00.000,2018-09-28T06:10:30.000,435.0,83.0,3.0,198.0,32.0,99.0,10.0,55.0,35.0,20.0,46.0,23.0
65,2018-08-28,2,True,False,2295,1680,3041,1.61,18.29,60.0,6,845,148,0,0,590,-1,0.0,0.0,28.0,123.6914,0.0,0.0,2113.37259,1364.0,97.0,369.0,0.0,2018-08-28T22:41:30.000,2018-08-29T05:51:30.000,430.0,69.0,5.0,221.0,32.0,79.0,8.0,61.0,32.0,17.0,52.0,19.0
39,2018-08-02,4,True,False,2600,1680,8270,5.38,39.62,,13,1440,0,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
35,2018-07-29,7,False,True,2748,1680,7613,4.82,103.63,59.0,34,780,364,0,0,1395,-1,0.0,0.0,58.0,296.35208,0.0,0.0,2345.13824,1315.0,96.0,,0.0,2018-07-30T05:28:00.000,2018-07-30T07:44:00.000,136.0,,,,,,,,,,,
16,2018-07-10,2,True,False,3472,1681,13762,9.21,39.62,57.0,13,732,236,23,116,2089,-1,21.0,227.17604,138.0,1014.4706,1.0,12.8414,2161.09088,1247.0,91.0,329.0,0.0,2018-07-11T00:17:00.000,2018-07-11T06:37:00.000,380.0,69.0,3.0,185.0,21.0,75.0,8.0,51.0,22.0,19.0,49.0,20.0
72,2018-09-04,2,True,False,3125,1680,11046,7.37,21.34,61.0,7,728,149,31,98,1624,-1,16.0,165.23304,181.0,1097.35276,0.0,0.0,1712.30906,1128.0,96.0,371.0,0.0,2018-09-04T22:41:30.000,2018-09-05T05:41:30.000,420.0,54.0,4.0,224.0,29.0,93.0,9.0,49.0,32.0,13.0,54.0,23.0
34,2018-07-28,6,False,True,3293,1680,14865,9.43,0.0,61.0,0,1059,260,60,61,1970,-1,6.0,62.4452,212.0,1261.85992,0.0,0.0,1319.5196,667.0,98.0,195.0,0.0,2018-07-29T05:01:30.000,2018-07-29T08:40:30.000,219.0,47.0,2.0,127.0,18.0,21.0,2.0,24.0,16.0,22.0,58.0,10.0
73,2018-09-05,3,True,False,2575,1680,7465,4.83,24.38,61.0,8,806,180,13,21,990,-1,0.0,0.0,72.0,449.37319,0.0,0.0,2098.0862,1350.0,99.0,397.0,0.0,2018-09-05T22:58:30.000,2018-09-06T06:15:30.000,437.0,53.0,6.0,267.0,32.0,77.0,7.0,40.0,34.0,13.0,62.0,18.0
7,2018-07-01,7,False,True,1718,1681,155,0.09,0.0,58.0,0,1427,13,0,0,46,-1,0.0,0.0,1.0,3.97018,0.0,0.0,233.77354,171.0,96.0,402.0,0.0,2018-07-01T22:34:00.000,2018-07-02T05:54:30.000,440.0,77.0,5.0,233.0,34.0,92.0,8.0,38.0,34.0,18.0,53.0,21.0
43,2018-08-06,1,True,False,2746,1680,6856,4.17,18.29,,6,1173,211,55,1,1175,-1,,,,,,,,,,,,,,,,,,,,,,,,,
69,2018-09-01,6,False,True,3010,1680,10646,6.81,0.0,62.0,0,1046,360,32,2,1681,-1,0.0,0.0,137.0,694.3055,0.0,0.0,1809.74521,875.0,97.0,441.0,0.0,2018-09-01T23:11:30.000,2018-09-02T07:29:30.000,498.0,54.0,3.0,276.0,44.0,111.0,11.0,57.0,41.0,11.0,56.0,23.0
76,2018-09-08,6,False,True,2530,1680,6605,4.14,48.77,62.0,16,746,280,0,0,1083,-1,0.0,0.0,52.0,262.43581,0.0,0.0,2231.57956,1361.0,96.0,471.0,0.0,2018-09-08T23:08:30.000,2018-09-09T08:15:00.000,546.0,85.0,5.0,286.0,31.0,100.0,9.0,75.0,32.0,16.0,53.0,19.0
27,2018-07-21,6,False,True,3438,1680,13842,9.13,33.53,57.0,11,1063,240,33,104,2110,-1,4.0,42.0192,176.0,1161.01384,0.0,0.0,1305.27976,616.0,95.0,235.0,0.0,2018-07-22T00:02:30.000,2018-07-22T04:26:30.000,264.0,57.0,2.0,109.0,18.0,69.0,7.0,29.0,20.0,22.0,42.0,27.0
19,2018-07-13,5,True,False,1680,1680,0,0.0,0.0,,0,1440,0,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
113,2018-10-15,1,True,False,2896,1675,7794,4.95,33.53,60.0,11,668,270,34,9,1421,-1,0.0,0.0,154.0,785.52768,0.0,0.0,2058.86898,1245.0,95.0,337.0,0.0,2018-10-15T22:41:00.000,2018-10-16T05:13:00.000,392.0,63.0,3.0,206.0,23.0,68.0,6.0,55.0,23.0,17.0,53.0,18.0
97,2018-09-29,6,False,True,3020,1680,10748,6.66,30.48,63.0,10,566,382,9,7,1698,-1,0.0,0.0,147.0,721.96103,0.0,0.0,2221.42753,1242.0,94.0,385.0,0.0,2018-09-30T01:24:00.000,2018-09-30T08:47:00.000,443.0,37.0,2.0,261.0,33.0,87.0,7.0,58.0,28.0,9.0,59.0,20.0
25,2018-07-19,4,True,False,3199,1680,9236,5.95,27.43,57.0,9,732,212,41,63,1726,-1,13.0,132.71064,184.0,1094.8336,0.0,0.0,1879.89232,1181.0,96.0,378.0,0.0,2018-07-20T00:11:30.000,2018-07-20T07:28:00.000,436.0,113.0,5.0,188.0,27.0,77.0,9.0,58.0,29.0,26.0,44.0,18.0
8,2018-07-02,1,True,False,2867,1681,7554,4.81,27.43,58.0,9,701,245,22,32,1372,-1,7.0,73.09176,92.0,558.1128,0.0,0.0,2220.65844,1331.0,90.0,317.0,0.0,2018-07-02T23:54:30.000,2018-07-03T06:32:30.000,398.0,62.0,2.0,163.0,19.0,92.0,4.0,81.0,20.0,16.0,41.0,24.0
105,2018-10-07,7,False,True,1272,1272,0,0.0,0.0,,0,1094,0,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
49,2018-08-12,7,False,True,2094,1680,2456,1.52,9.14,59.0,3,1308,132,0,0,506,-1,0.0,0.0,15.0,60.2172,0.0,0.0,851.0931,416.0,95.0,371.0,0.0,2018-08-12T23:23:30.000,2018-08-13T06:33:30.000,430.0,80.0,4.0,205.0,34.0,86.0,6.0,59.0,33.0,19.0,48.0,20.0
13,2018-07-07,6,False,True,3109,1681,12549,7.99,9.14,57.0,3,673,208,20,87,1682,-1,12.0,126.54616,118.0,854.30332,0.0,0.0,1975.00732,1185.0,93.0,270.0,0.0,2018-07-08T04:03:00.000,2018-07-08T09:09:30.000,306.0,46.0,3.0,180.0,19.0,44.0,2.0,36.0,18.0,16.0,59.0,15.0
81,2018-09-13,4,True,False,2845,1680,7655,5.1,33.53,66.0,11,781,185,39,36,1293,-1,1.0,9.3352,195.0,971.56094,0.0,0.0,1829.34913,1222.0,96.0,405.0,0.0,2018-09-13T22:47:00.000,2018-09-14T06:29:30.000,462.0,72.0,2.0,260.0,31.0,73.0,5.0,57.0,29.0,16.0,57.0,16.0
3,2018-06-27,3,True,False,3442,1682,13337,9.33,33.53,57.0,11,665,243,30,100,2035,-1,11.0,114.28908,217.0,1310.46804,0.0,0.0,1986.0357,1187.0,97.0,365.0,0.0,2018-06-27T22:36:30.000,2018-06-28T05:24:00.000,407.0,66.0,4.0,197.0,32.0,102.0,10.0,42.0,32.0,17.0,49.0,26.0
17,2018-07-11,3,True,False,2477,1680,6647,4.63,0.0,57.0,0,925,28,33,74,943,-1,12.0,129.10338,96.0,703.99863,0.0,0.0,611.31501,455.0,,,,,,,,,,,,,,,,,
38,2018-08-01,3,True,False,3205,1680,9795,6.39,9.14,61.0,3,894,47,40,53,965,-1,15.0,164.80864,79.0,538.77952,9.0,114.15216,542.28112,377.0,,,,,,,,,,,,,,,,,
89,2018-09-21,5,True,False,2595,1680,7443,4.84,48.77,66.0,16,698,256,23,2,1135,-1,0.0,0.0,68.0,325.68179,0.0,0.0,2172.18435,1298.0,97.0,,0.0,2018-09-22T14:53:00.000,2018-09-22T16:46:00.000,113.0,,,,,,,,,,,
6,2018-06-30,6,False,True,1681,1681,0,0.0,0.0,,0,1440,0,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
103,2018-10-05,5,True,False,2665,1675,5844,3.4,6.1,63.0,2,790,277,0,0,1148,-1,0.0,0.0,119.0,499.56396,0.0,0.0,2116.45728,1279.0,95.0,380.0,0.0,2018-10-06T00:30:30.000,2018-10-06T07:32:30.000,422.0,82.0,3.0,209.0,30.0,89.0,9.0,42.0,31.0,20.0,50.0,22.0
101,2018-10-03,3,True,False,3011,1680,10595,7.51,54.86,61.0,18,694,232,44,35,1519,-1,4.0,42.70854,162.0,861.40558,0.0,0.0,2041.14148,1251.0,96.0,390.0,0.0,2018-10-03T22:35:30.000,2018-10-04T05:59:00.000,443.0,106.0,5.0,219.0,33.0,65.0,6.0,53.0,34.0,24.0,50.0,15.0
91,2018-09-23,7,False,True,2717,1680,8899,6.28,18.29,64.0,6,605,205,23,33,1256,-1,10.0,103.97079,100.0,488.11427,1.0,13.30266,2092.60177,1323.0,,,,,,,,,,,,,,,,,
54,2018-08-17,5,True,False,2320,1680,4447,2.65,9.14,63.0,3,796,179,0,0,714,-1,0.0,0.0,75.0,194.7723,0.0,0.0,2112.3867,1354.0,,,,,,,,,,,,,,,,,
50,2018-08-13,1,True,False,2733,1680,6609,3.94,33.53,60.0,11,762,183,44,21,1179,-1,0.0,0.0,126.0,696.00136,0.0,0.0,1906.27104,1202.0,95.0,371.0,0.0,2018-08-13T22:46:30.000,2018-08-14T05:40:00.000,413.0,47.0,3.0,259.0,25.0,65.0,8.0,42.0,26.0,12.0,63.0,16.0
77,2018-09-09,7,False,True,2290,1680,3469,2.01,24.38,63.0,8,697,197,0,0,729,-1,0.0,0.0,31.0,127.1921,0.0,0.0,2151.7636,1403.0,,,,,,,,,,,,,,,,,
46,2018-08-09,4,True,False,2803,1680,9082,6.01,18.29,59.0,6,1145,259,14,22,1364,-1,0.0,0.0,99.0,602.45702,0.0,0.0,2072.7696,1233.0,,,,,,,,,,,,,,,,,
78,2018-09-10,1,True,False,2548,1680,4478,2.98,36.58,65.0,12,1259,150,14,17,903,-1,0.0,0.0,225.0,867.0067,0.0,0.0,930.0193,571.0,95.0,384.0,0.0,2018-09-10T23:02:30.000,2018-09-11T06:14:00.000,431.0,63.0,4.0,223.0,32.0,98.0,14.0,47.0,37.0,15.0,52.0,23.0
61,2018-08-24,5,True,False,3114,1680,12716,8.37,18.29,63.0,6,692,230,32,68,1676,-1,6.0,59.517,201.0,1062.3201,0.0,0.0,1950.8739,1197.0,94.0,312.0,0.0,2018-08-24T23:02:30.000,2018-08-25T04:43:00.000,340.0,60.0,3.0,161.0,23.0,91.0,6.0,28.0,20.0,18.0,48.0,27.0
112,2018-10-14,7,False,True,3008,1675,11779,7.55,6.1,62.0,2,667,245,30,63,1639,-1,3.0,28.38696,151.0,940.72524,0.0,0.0,2011.5186,1267.0,97.0,403.0,0.0,2018-10-14T22:16:30.000,2018-10-15T05:55:30.000,459.0,95.0,4.0,204.0,25.0,104.0,8.0,56.0,28.0,21.0,45.0,23.0
79,2018-09-11,2,True,False,3044,1680,8649,5.4,33.53,65.0,11,666,289,38,16,1646,-1,1.0,9.10182,258.0,1216.60994,0.0,0.0,1736.81396,1154.0,96.0,381.0,0.0,2018-09-11T22:40:00.000,2018-09-12T05:53:00.000,433.0,78.0,4.0,204.0,32.0,99.0,9.0,52.0,33.0,19.0,48.0,23.0
90,2018-09-22,6,False,True,4085,1680,25570,16.62,320.04,65.0,105,658,581,78,10,3089,-1,0.0,0.0,350.0,1736.3472,0.0,0.0,2283.85668,1051.0,97.0,489.0,0.0,2018-09-22T22:43:00.000,2018-09-23T08:17:30.000,574.0,108.0,6.0,236.0,38.0,145.0,15.0,85.0,37.0,19.0,42.0,26.0
41,2018-08-04,6,False,True,3131,1680,11771,7.47,64.01,,21,1296,45,24,75,950,-1,,,,,,,,,,,,,,,,,,,,,,,,,
58,2018-08-21,2,True,False,2949,1681,11708,7.43,12.19,62.0,4,714,171,49,72,1503,-1,2.0,18.91188,144.0,929.13366,0.0,0.0,1952.24302,1260.0,96.0,393.0,0.0,2018-08-21T22:05:30.000,2018-08-22T05:33:30.000,448.0,74.0,4.0,271.0,29.0,48.0,5.0,55.0,31.0,17.0,61.0,11.0
48,2018-08-11,6,False,True,3186,1680,12643,8.32,94.49,58.0,31,1104,249,33,54,1744,-1,14.0,153.35694,149.0,916.87376,1.0,12.37126,2067.75107,1248.0,,,,,,,,,,,,,,,,,
98,2018-09-30,7,False,True,3185,1680,12775,9.29,12.19,64.0,4,631,288,39,39,1826,-1,25.0,284.02346,158.0,815.19634,0.0,0.0,2064.01272,1238.0,95.0,397.0,0.0,2018-09-30T23:11:00.000,2018-10-01T06:31:30.000,440.0,109.0,2.0,183.0,25.0,105.0,14.0,43.0,31.0,25.0,42.0,24.0
57,2018-08-20,1,True,False,2757,1680,6548,4.3,18.29,64.0,6,1183,202,20,35,1256,-1,16.0,159.42586,123.0,614.59486,0.0,0.0,1502.40783,893.0,96.0,375.0,0.0,2018-08-20T22:28:00.000,2018-08-21T05:42:30.000,434.0,68.0,4.0,251.0,36.0,56.0,6.0,59.0,37.0,16.0,58.0,13.0
75,2018-09-07,5,True,False,2369,1680,4157,2.54,6.1,63.0,2,844,167,9,0,743,-1,0.0,0.0,73.0,324.86496,0.0,0.0,1980.69606,1325.0,97.0,353.0,0.0,2018-09-07T23:16:30.000,2018-09-08T06:11:00.000,414.0,70.0,4.0,219.0,25.0,64.0,6.0,61.0,24.0,17.0,53.0,16.0
32,2018-07-26,4,True,False,2702,1680,7232,5.76,21.34,62.0,7,772,189,25,30,1155,-1,7.0,73.87743,81.0,488.54806,1.0,13.77178,2090.62623,1322.0,94.0,387.0,0.0,2018-07-26T23:46:30.000,2018-07-27T07:01:30.000,435.0,75.0,5.0,241.0,33.0,71.0,10.0,48.0,37.0,18.0,56.0,17.0
